epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,439.547,0.67553,1.13659,1.15371,0.97169,1,0.995,0.597,1.2889,1.80736,1.84671,0.000438703,0.000438703,0.000438703
72,444.757,0.8898,1.1999,1.29683,0.98041,1,0.995,0.57583,1.27043,1.87672,1.82593,0.000424556,0.000424556,0.000424556
73,450.342,0.68037,1.26219,1.16144,0.98041,1,0.995,0.57583,1.27043,1.87672,1.82593,0.000410409,0.000410409,0.000410409
74,455.651,0.5652,1.16713,1.11097,0.98041,1,0.995,0.57583,1.27043,1.87672,1.82593,0.000396262,0.000396262,0.000396262
75,461.158,0.62595,1.06346,1.08263,0.98479,1,0.995,0.62893,1.14031,1.87378,1.84203,0.000382115,0.000382115,0.000382115
76,466.486,0.68518,1.26256,1.18027,0.98479,1,0.995,0.62893,1.14031,1.87378,1.84203,0.000367967,0.000367967,0.000367967
77,471.792,0.6627,0.99141,1.10663,0.98479,1,0.995,0.62893,1.14031,1.87378,1.84203,0.00035382,0.00035382,0.00035382
78,477.202,0.65022,1.22546,1.19765,0.98615,1,0.995,0.465,1.64635,2.83208,2.5369,0.000339673,0.000339673,0.000339673
79,482.677,0.71238,1.14343,1.13574,0.98615,1,0.995,0.465,1.64635,2.83208,2.5369,0.000325526,0.000325526,0.000325526
80,490.575,0.58046,1.07168,1.10468,0.98615,1,0.995,0.465,1.64635,2.83208,2.5369,0.000311379,0.000311379,0.000311379
81,496.465,0.5752,1.0914,1.12463,0.98615,1,0.995,0.465,1.64635,2.83208,2.5369,0.000297232,0.000297232,0.000297232
82,502.891,0.6478,1.00871,1.10728,0.98609,1,0.995,0.49305,1.79239,2.83677,2.79148,0.000283085,0.000283085,0.000283085
83,508.34,0.72825,1.09026,1.12652,0.98609,1,0.995,0.49305,1.79239,2.83677,2.79148,0.000268938,0.000268938,0.000268938
84,513.869,0.68648,1.12521,1.21214,0.98609,1,0.995,0.49305,1.79239,2.83677,2.79148,0.000254791,0.000254791,0.000254791
85,519.122,0.66577,1.09404,1.17293,0.98609,1,0.995,0.49445,1.88041,2.89363,2.9964,0.000240644,0.000240644,0.000240644
86,524.384,0.63668,1.08582,1.17496,0.98609,1,0.995,0.49445,1.88041,2.89363,2.9964,0.000226497,0.000226497,0.000226497
87,529.531,0.60206,1.02829,1.06544,0.98609,1,0.995,0.49445,1.88041,2.89363,2.9964,0.000212349,0.000212349,0.000212349
88,535.046,0.61112,1.13291,1.19196,0.98653,1,0.995,0.48218,1.72377,2.6298,2.64852,0.000198202,0.000198202,0.000198202
89,540.516,0.62956,1.07548,1.0812,0.98653,1,0.995,0.48218,1.72377,2.6298,2.64852,0.000184055,0.000184055,0.000184055
90,545.971,0.50122,1.00642,1.01248,0.98653,1,0.995,0.48218,1.72377,2.6298,2.64852,0.000169908,0.000169908,0.000169908
91,551.322,0.55296,1.53559,1.07477,0.9864,1,0.995,0.48125,1.68702,2.72284,2.48873,0.000155761,0.000155761,0.000155761
92,556.627,0.4836,1.41316,1.03227,0.9864,1,0.995,0.48125,1.68702,2.72284,2.48873,0.000141614,0.000141614,0.000141614
93,562.123,0.53548,1.54203,1.15283,0.9864,1,0.995,0.48125,1.68702,2.72284,2.48873,0.000127467,0.000127467,0.000127467
94,567.557,0.55395,1.65936,1.1703,0.98565,1,0.995,0.51945,1.34901,2.45496,1.99195,0.00011332,0.00011332,0.00011332
95,572.921,0.39642,1.39496,0.97569,0.98565,1,0.995,0.51945,1.34901,2.45496,1.99195,9.91726e-05,9.91726e-05,9.91726e-05
96,578.18,0.48223,1.43711,1.08064,0.98565,1,0.995,0.51945,1.34901,2.45496,1.99195,8.50255e-05,8.50255e-05,8.50255e-05
97,583.347,0.48249,1.42616,1.04248,0.98565,1,0.995,0.51945,1.34901,2.45496,1.99195,7.08784e-05,7.08784e-05,7.08784e-05
98,588.567,0.46227,1.38626,0.96476,0.98771,1,0.995,0.57275,1.31506,2.50343,1.9183,5.67313e-05,5.67313e-05,5.67313e-05
99,593.925,0.49568,1.53922,1.06928,0.98771,1,0.995,0.57275,1.31506,2.50343,1.9183,4.25842e-05,4.25842e-05,4.25842e-05
100,599.036,0.43165,1.37957,0.99666,0.98771,1,0.995,0.57275,1.31506,2.50343,1.9183,2.84371e-05,2.84371e-05,2.84371e-05
